Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
232,Mechanical,High,M-104_FLOOR PLAN - LEVEL 4 - MECHANICAL PLAN.pdf,"Mechanical shaft dimensions and designation by system (supply, return, exhaust, plumbing, etc.) are not provided; insufficient information to validate shaft adequacy."
233,Mechanical,High,M-104_FLOOR PLAN - LEVEL 4 - MECHANICAL PLAN.pdf,"Condensate drain piping from Level 4 units is not illustrated, including tie-ins to vertical risers or floor drains; potential conflict with structure and interiors not addressed."
234,Mechanical,High,M-104_FLOOR PLAN - LEVEL 4 - MECHANICAL PLAN.pdf,Exhaust duct routing from restrooms and any special exhaust areas is not fully shown; unclear how ducts reach shafts or exterior.
235,Mechanical,High,M-104_FLOOR PLAN - LEVEL 4 - MECHANICAL PLAN.pdf,"Louvers, intakes, and exhaust terminations for Level 4 are not clearly identified or coordinated with architectural openings."
236,Mechanical,High,M-105_FLOOR PLAN - LEVEL 5 - MECHANICAL PLAN.pdf,"Ductwork and piping shown schematically without clear routing around structural elements; no elevation data or detailed offsets, making constructability uncertain."
237,Mechanical,High,M-105_FLOOR PLAN - LEVEL 5 - MECHANICAL PLAN.pdf,Service clearances and access for Level 5 mechanical equipment are not documented; risk that installed equipment will not meet code/maintenance access requirements.
238,Mechanical,High,M-105_FLOOR PLAN - LEVEL 5 - MECHANICAL PLAN.pdf,No explicit shaft dimensions or allocation by trade; unclear if existing shafts from lower levels are adequately sized for continued risers and additional Level 5 loads.
239,Mechanical,High,M-105_FLOOR PLAN - LEVEL 5 - MECHANICAL PLAN.pdf,"Condensate piping from Level 5 fan coils/terminal units is not indicated; no routing to risers or drains, leaving condensate management unresolved."
240,Mechanical,High,M-105_FLOOR PLAN - LEVEL 5 - MECHANICAL PLAN.pdf,Toilet and other exhaust duct routes to shaft or exterior are not clearly drawn; potential conflicts with structure and other services not addressed.
241,Mechanical,High,M-105_FLOOR PLAN - LEVEL 5 - MECHANICAL PLAN.pdf,"Any Level 5 connections to roof-mounted equipment or penetrations are not clearly shown, making coordination of penetrations and weatherproofing ambiguous."
242,Mechanical,High,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf,"Duct and piping sizes, elevations, and routing are not consistently labeled for many runs, making it unclear how systems are to be routed/coordinated in congested areas; provide complete sizing and elevation callouts for all mains and significant branches."
243,Mechanical,High,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf,Mechanical shafts show equipment connections but shaft dimensions and allocation between trades are not indicated; request coordinated shaft sizes and dedicated mechanical clearances.
244,Mechanical,High,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf,Several fan coil/terminal units are shown without clear indication of service/access side or minimum access zones; confirm access clearances and hatch/door locations for all ceiling-mounted units.
245,Mechanical,High,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf,"Condensate piping routing, sizes, and points of disposal are not clearly shown for many fan coil units; provide complete condensate riser and horizontal routing with discharge locations."
246,Mechanical,High,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf,Locations and elevations of exhaust/relief air terminations from restrooms and other spaces are not clearly indicated at this level; clarify whether ducts rise to roof or terminate at louvers on this level and show louver IDs.
247,Mechanical,High,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf,Mechanical notes reference coordination with structural and architectural but do not define fire/smoke damper requirements at rated walls/shafts; provide clear damper locations and types at all penetrations of rated assemblies.
248,Mechanical,High,M-108_FLOOR PLAN - LEVEL 8 - MECHANICAL PLAN.pdf,"Similar to level 7, many duct/pipe mains do not have continuous size and elevation labels, especially in corridor and shaft transition areas; provide complete duct/pipe sizing and elevation information for constructability."
249,Mechanical,High,M-108_FLOOR PLAN - LEVEL 8 - MECHANICAL PLAN.pdf,"Mechanical risers are diagrammatically indicated but shaft dimensions and offsets are not shown; request coordinated shaft layout showing clearances for duct, pipe, and fire protection."
250,Mechanical,High,M-108_FLOOR PLAN - LEVEL 8 - MECHANICAL PLAN.pdf,Access and service clearances for fan coils/terminal units above ceilings are not detailed; confirm required access panel sizes and locations and verify no conflicts with structure/lighting.
251,Mechanical,High,M-108_FLOOR PLAN - LEVEL 8 - MECHANICAL PLAN.pdf,Condensate piping from fan coils is not clearly routed to risers or drains; provide condensate piping layout and indicate connection to building drainage.
252,Mechanical,High,M-108_FLOOR PLAN - LEVEL 8 - MECHANICAL PLAN.pdf,"Exhaust duct routing from restrooms and other exhaust points is only partially indicated; clarify duct paths, shaft connections, and fan locations to ensure code-compliant exhaust."
253,Mechanical,High,M-109_FLOOR PLAN - LEVEL 9 - MECHANICAL PLAN.pdf,Mechanical plan appears largely diagrammatic with limited duct/pipe sizing and invert/elevation information; provide detailed routing and sizes for all primary distribution to avoid field redesign.
254,Mechanical,High,M-109_FLOOR PLAN - LEVEL 9 - MECHANICAL PLAN.pdf,"Multiple risers are shown entering shafts without indication of duct/pipe counts, sizes, or required shaft dimensions; request coordinated shaft sizing and reserved mechanical space."
255,Mechanical,High,M-109_FLOOR PLAN - LEVEL 9 - MECHANICAL PLAN.pdf,"Several mechanical devices (fan coils, VAVs, valves) are located close to walls/structure without explicit access notes; confirm that minimum service clearances are met and identify any access panels/doors."
256,Mechanical,High,M-109_FLOOR PLAN - LEVEL 9 - MECHANICAL PLAN.pdf,No clear indication of floor drains or indirect connections for condensate in mechanical/utility rooms on this level; confirm drain locations and piping to sanitary.
257,Mechanical,High,M-109_FLOOR PLAN - LEVEL 9 - MECHANICAL PLAN.pdf,Penetrations of rated corridors/shafts are not clearly tagged with fire/smoke damper symbols; provide explicit damper locations and schedules to ensure code compliance.
258,Mechanical,High,M-110_FLOOR PLAN - LEVEL 10 - MECHANICAL PLAN.pdf,"Long multi-bend duct run across garage/structure is shown without elevations or coordination notes with beams and other services; provide duct elevations, offsets, and coordination requirements to avoid conflicts."
259,Mechanical,High,M-110_FLOOR PLAN - LEVEL 10 - MECHANICAL PLAN.pdf,"Connections between horizontal distribution and vertical shafts at level 10 are not detailed (no transition sizes, offsets, or access); request enlarged details or sections showing these transitions."
260,Mechanical,High,M-110_FLOOR PLAN - LEVEL 10 - MECHANICAL PLAN.pdf,Multiple units and duct branches are tightly grouped with limited clarity on access paths; verify clear working space and provide access notes/sections as needed.
261,Mechanical,High,M-110_FLOOR PLAN - LEVEL 10 - MECHANICAL PLAN.pdf,"Similar to lower levels, condensate piping and drain points are not clearly indicated for equipment on this level; provide complete condensate routing and termination details."
262,Mechanical,High,M-110_FLOOR PLAN - LEVEL 10 - MECHANICAL PLAN.pdf,"Locations of exterior louvers/intakes serving level 10 systems are not clearly identified on the plan; clarify louver tags, sizes, and associated duct connections."
263,Mechanical,High,M-111_FLOOR PLAN - LEVEL 11 - MECHANICAL PLAN.pdf,"Mechanical plan for residential/amenity level is highly congested, but many ducts and pipes lack size and elevation callouts; provide full sizing and elevation data for all main branches to facilitate coordination."
264,Mechanical,High,M-111_FLOOR PLAN - LEVEL 11 - MECHANICAL PLAN.pdf,"Mechanical rooms show equipment but not detailed clearances, access doors, or maintenance zones (filter pull, coil removal, etc.); provide equipment schedules/diagrams with required service clearances and confirm room adequacy."
265,Mechanical,High,M-111_FLOOR PLAN - LEVEL 11 - MECHANICAL PLAN.pdf,"Ductwork and equipment serving outdoor/terrace spaces are shown without indication of weatherproofing, supports, or condensate handling; clarify construction requirements and drainage for exterior mechanical components."
266,Mechanical,High,M-111_FLOOR PLAN - LEVEL 11 - MECHANICAL PLAN.pdf,"Exhaust duct routing from restrooms and any kitchen/food service areas on this level is not fully detailed (fan locations, riser connections, grease vs. non-grease separation); provide complete exhaust system layout and coordination with shafts."
267,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,"Several FCU/AC units and terminal devices are tagged but lack ductwork routing and connection details to supply/return grilles, making air distribution paths and ceiling coordination unclear."
268,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,"No ceiling height or elevation callouts are provided for larger duct mains crossing corridors; potential conflicts with structure, lighting, and life-safety devices cannot be checked."
269,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,Shaft outlines are shown but do not indicate dedicated areas or sizes for supply/return/ exhaust duct risers and piping; vertical distribution and trade allocation within shafts is not defined.
270,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,"Access and service clearances for FCUs (filter pull, coil pull, valve access) are not dimensioned or noted; no indication of required access panels in ceilings/walls."
271,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,"Condensate drain routing from FCUs is not shown (no pipe runs, slopes, riser connections, or termination points), leaving risk of uncoordinated condensate management."
272,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,"Exterior louver/intake/exhaust locations are indicated but do not show duct transitions, backdraft dampers, bird screens, or access for damper service, nor coordination with architectural façade depth."
273,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,"Toilet and other exhaust points are symbolized but lack duct sizing, routing to risers/fans, and termination details; fan locations and interlocks are not identifiable."
274,Mechanical,High,M-112A_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR A.pdf,"Any split-system condensing units or similar outdoors are not clearly shown with refrigerant piping routes, line set sizes, or required clearances from railings and structure."
275,Mechanical,High,M-112B_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR B.pdf,"Similar to Sector A, many FCUs/terminal units are indicated without complete duct routing to all diffusers/returns, leaving air distribution and balancing strategy unclear."
276,Mechanical,High,M-112B_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR B.pdf,No duct elevation information or dropped-ceiling requirements are given for large duct runs through public areas; constructability with structure and finishes cannot be verified.
277,Mechanical,High,M-112B_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR B.pdf,"Shaft spaces show multiple systems entering but do not indicate allocation or required clearances between ducts, plumbing, and electrical risers; risk of congestion and rework."
278,Mechanical,High,M-112B_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR B.pdf,"No notes or dimensions indicate required service access, removable ceiling areas, or minimum clearances around FCUs and control valves for maintenance."
279,Mechanical,High,M-112B_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR B.pdf,"Condensate drain piping from FCUs is not diagrammed; no indication of trap locations, connection to vertical drains, or overflow protection."
280,Mechanical,High,M-112B_FLOOR PLAN - LEVEL 12 - MECHANICAL PLAN - SECTOR B.pdf,"Exhaust and outside air terminations are shown schematically but lack duct sizing, damper types, and access provisions, making balancing and code compliance uncertain."
281,Mechanical,High,M-114A_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR A.pdf,"For typical floors, FCUs/terminal units again lack fully indicated supply/return duct routing, especially in bedrooms and living rooms; unclear if all spaces receive design airflow."
282,Mechanical,High,M-114A_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR A.pdf,"Mechanical closets are tightly sized with equipment but no explicit clearances, door swing coordination, or access panel notes; coil/valve serviceability cannot be confirmed."
283,Mechanical,High,M-114A_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR A.pdf,"Connections from unit FCUs to main supply/return risers are not clearly drawn (no takeoff sizes, elevation changes, or balancing devices), complicating coordination and TAB."
284,Mechanical,High,M-114A_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR A.pdf,No primary/secondary condensate routing or pan overflow provisions are shown for stacked typical floors; potential for uncoordinated piping and code issues.
285,Mechanical,High,M-114A_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR A.pdf,"Any penetrations for outdoor air or exhaust through balcony soffits are not detailed with sleeves, firestopping, or slope/condensation considerations."
286,Mechanical,High,M-114B_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR B.pdf,"Ductwork is only partially shown; several diffusers/grilles appear without clear duct connections or sizes, making layout and coordination with structure uncertain."
287,Mechanical,High,M-114B_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR B.pdf,"No indication of shaft offsets, duct drops, or transitions where ducts cross structural beams/walls; potential conflicts not addressed."
288,Mechanical,High,M-114B_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR B.pdf,Multiple systems enter limited shaft areas without indicated allocation or sizes; unclear if shafts are adequately sized for all mechanical duct and piping.
289,Mechanical,High,M-114B_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR B.pdf,Access/maintenance clearances and required access panels for FCUs and control valves are not documented; risk that architectural layouts will block service.
290,Mechanical,High,M-114B_FLOOR PLAN - LEVEL 14 TO 23 - MECHANICAL PLAN - SECTOR B.pdf,"As with Sector A, condensate piping, traps, and risers are not shown for stacked units, leaving routing and coordination ambiguous."
291,Mechanical,High,M-124A_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR A.pdf,Mechanical layout for upper floors again omits full duct routing from FCUs to all diffusers/returns; unclear if changes in structure at higher levels have been coordinated.
292,Mechanical,High,M-124A_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR A.pdf,"Equipment in mechanical closets is shown schematically with no explicit service clearances, access door requirements, or indication of removable ceiling areas."
293,Mechanical,High,M-124A_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR A.pdf,No detail on how additional floors’ duct and piping loads are accommodated in existing shaft sizes; lack of cumulative riser sizing and trade allocation.
294,Mechanical,High,M-124A_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR A.pdf,Continuity of condensate risers and any venting between lower and upper typical floors is not depicted; unclear where risers originate and terminate.
295,Mechanical,High,M-124A_FLOOR PLAN - LEVEL 24 TO 35 - MECHANICAL PLAN - SECTOR A.pdf,"For top floors adjacent to roof/terrace, penetrations for exhaust/OA and any equipment on roof are not coordinated on this plan, leaving termination routing ambiguous."
296,Mechanical,High,M-136A_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR A.pdf,"Detailed equipment tags, capacities, and service clearances around large AHUs/MAUs and pumps are not fully dimensioned; need plan and section clearances to verify maintainability and code-required access."
297,Mechanical,High,M-136A_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR A.pdf,"Duct elevations and required offsets at major mains are not indicated, so it is unclear how ducts pass under beams/transfer girders and coordinate with structure and sprinklers."
298,Mechanical,High,M-136A_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR A.pdf,"Intake and exhaust louver free area, sill heights, and separation distances from exhaust outlets are not documented; need louver schedule and airflow/clearance criteria to ensure code and manufacturer compliance."
299,Mechanical,High,M-136A_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR A.pdf,"Refrigerant piping routing from equipment to connected loads is not shown, including pipe sizes, vertical drops, and support strategy; this creates constructability risk in congested exterior/roof zones."
300,Mechanical,High,M-136A_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR A.pdf,Floor drains and indirect connections for AHU/coil condensate and relief drains are not clearly indicated; need drain locations and piping to avoid field rework and water damage risk.
301,Mechanical,High,M-136A_FLOOR PLAN - LEVEL 36 - MECHANICAL PLAN - SECTOR A.pdf,"No keyed reference to mechanical riser diagrams or explicit indication of which risers continue/terminate at Level 36, making vertical system continuity ambiguous."
302,Mechanical,High,M-137A_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR A.pdf,Plan covers multiple levels but does not identify any level-specific variations in duct/pipe routing or riser loads; need clarification if the plan truly applies identically to all levels 37–48 or if separate details are required.
303,Mechanical,High,M-137A_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR A.pdf,"Absence of explicit valve sets (shutoff, balance, strainers) and access points at each fan coil on the plan; need confirmation of valve kit requirements and access provisions per typical details."
304,Mechanical,High,M-137A_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR A.pdf,"Shaft sizes and reserved space for combined duct, hydronic, and plumbing risers are not dimensioned; need shaft sizing/assignment to ensure all trades fit without rework."
305,Mechanical,High,M-137A_FLOOR PLAN - LEVEL 37 TO 48 - MECHANICAL PLAN - SECTOR A.pdf,No symbols or notes indicating thermostat or local control sensor locations in guestrooms and corridors; need explicit locations to coordinate with interior design and electrical.
306,Mechanical,High,M-302A_MECHANICAL AIR RISER DIAGRAM #2 - NORTH TOWER.pdf,Secondary riser diagram lacks explicit identification of which floors/areas each riser serves (limited labeling); difficult to coordinate with floor plans and ensure all spaces receive supply/return/exhaust.
307,Mechanical,High,M-302A_MECHANICAL AIR RISER DIAGRAM #2 - NORTH TOWER.pdf,"Connection details between this riser set and main AHUs/fans (duct sizes, transitions, and balancing locations) are not clearly depicted; contractor cannot fully understand how systems integrate."
308,Mechanical,High,M-302A_MECHANICAL AIR RISER DIAGRAM #2 - NORTH TOWER.pdf,"Termination details for exhaust/relief risers (roof fans, louvers, discharge elevations) are not shown on this sheet; coordination with roof plans and exterior openings is ambiguous."
309,Mechanical,High,M-302A_MECHANICAL AIR RISER DIAGRAM #2 - NORTH TOWER.pdf,"No explicit legend or note clarifying symbol differences between supply, return, exhaust, and outside air risers; potential for misinterpretation in fabrication and installation."
310,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"Domestic water riser diagram does not show pipe sizes for several horizontal distribution mains and branches, making sizing and coordination with shafts and structure unclear."
311,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"Riser diagram lacks indication of pipe material, insulation type/thickness, and pressure class for each riser, preventing confirmation of suitability for building height and system pressures."
312,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"No isolation valves are shown at individual unit takeoffs, making it unclear how single units can be isolated for service without shutting down larger zones."
313,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"Transition from site/domestic water service to building risers is not detailed (no backflow preventer, PRV station, meters or strainers shown), leaving incoming water treatment and pressure control ambiguous."
314,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"No expansion tank, pressure reducing stations, or pressure zone breaks are indicated for this high-rise riser; unclear how static pressure will be controlled and code limits met at lower floors."
315,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"Shaft sizes, allocation, and coordination with other trades are not indicated on the riser, so adequacy of shaft space for the number and size of risers cannot be confirmed."
316,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"No drain valves, hose connections, or means of flushing and draining risers at low points are shown; constructability of filling, testing, and maintenance is unclear."
317,Mechanical,High,M-305A_MECHANICAL WATER RISER DIAGRAM #2 - NORTH TOWER.pdf,"Riser diagram does not reference a corresponding control/sequence narrative for domestic water pumps, PRVs, or recirculation (if any), so BMS and control requirements cannot be confirmed."
318,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Similar to North Tower, pipe sizes for several horizontal mains/branches are missing or unclear, preventing verification of capacity and coordination."
319,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Pipe material, insulation, and pressure rating are not indicated on the South Tower risers, so compliance with height and pressure requirements cannot be verified."
320,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,No isolation valves at individual unit connections are shown; unclear how localized shutoff will be achieved for maintenance.
321,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Incoming domestic water/backflow/PRV/metering arrangement is not depicted, leaving code-required devices and pressure control ambiguous."
322,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,"No PRV stations, expansion tanks, or pressure zone breaks are shown for this tower; unclear how domestic water pressures will be maintained within allowable limits on lower floors."
323,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,Shaft dimensions and allocation for multiple risers are not shown; cannot confirm sufficient shaft space or coordination with other building systems.
324,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Riser lacks drain valves and hose outlets at low points; method for draining, flushing, and testing the system is not defined."
325,Mechanical,High,M-305B_MECHANICAL WATER RISER DIAGRAM #2 - SOUTH TOWER.pdf,"No reference to domestic water system controls or BMS points is provided, leaving sequences for any booster/recirculation equipment undefined."
326,Mechanical,High,230500 - Common work results for hvac.pdf,"Common work results references multiple other divisions but does not clearly define responsibility for penetrations, firestopping, and sleeves at mechanical openings, which can cause trade coordination conflicts."
327,Mechanical,High,230500 - Common work results for hvac.pdf,"Reference standards are listed generically without indicating which standards apply to key systems on this project (e.g., generator exhaust, DOAS, hydronic piping), making it difficult to verify design basis and inspection criteria."
328,Mechanical,High,230512 - Variable-frequency motor controllers.pdf,"Spec references “Section 26 29 23 Variable Frequency Motor Controllers (Installation of)” but no mechanical/electrical coordination requirements are stated for VFD locations, cooling/ventilation, or access clearances, leaving constructability and responsibility for these items ambiguous."
329,Mechanical,High,230513 - Common motor requirements for hvac equipment.pdf,"Shop drawing requirements for field‑installed motors call for “required clearances and service space around equipment” but do not define minimum mechanical access clearances or coordination expectations with architectural/structural trades, creating ambiguity for layout and equipment room sizing."
330,Mechanical,High,230513 - Common motor requirements for hvac equipment.pdf,"Related sections list multiple motor control specs (VFDs, enclosed controllers, MCCs) but there is no stated requirement for coordinated motor starter/VFD responsibility matrix between Div 23 and Div 26, leaving who furnishes controllers for HVAC equipment unclear."
331,Mechanical,High,230514 - Enclosed controllers.pdf,"Section references Division 26 for “Installation of Enclosed Controllers” and “Selection of Overcurrent Devices” but does not define mechanical vs electrical scope split (who furnishes controllers, disconnects, and control interfaces), which can lead to gaps/overlap in procurement and installation."
332,Mechanical,High,230514 - Enclosed controllers.pdf,"Product data submittal requirements address electrical characteristics but do not call out minimum mechanical working space, mounting height, or environmental/room conditioning requirements for enclosed controllers, leaving access and equipment room coordination undefined."
333,Mechanical,High,230517 - Sleeves and sleeve seals for hvac piping.pdf,"Spec lists sleeves, seals, and grout but does not define trade responsibility for furnishing/setting sleeves (mechanical vs concrete/GC), which can cause coordination gaps for slab/wall penetrations."
334,Mechanical,High,230517 - Sleeves and sleeve seals for hvac piping.pdf,"Sleeve material requirements are given but there is no guidance on minimum oversizing of sleeves relative to pipe/insulation, fire/smoke rating coordination, or required sleeve projection through assemblies, creating ambiguity for constructible pipe routing and firestopping."
335,Mechanical,High,"230529 - Hangers, supports and accessories for hvac piping & equipment.pdf","Delegated design is required for trapeze hangers and equipment supports, but performance criteria (design loads, allowable deflection, vibration/isolation requirements, corrosion environment, and attachment limitations to structure) are not quantified; need specific design criteria so engineer-of-record and delegated designer can size and detail supports consistently."
336,Mechanical,High,"230529 - Hangers, supports and accessories for hvac piping & equipment.pdf","Section requires supports to withstand gravity loads and stresses “within limits and under conditions indicated,” but no reference on this page to seismic/wind/bracing requirements or building category; clarify if seismic restraint is required and provide design parameters (Ss, S1, Ip, bracing details)."
337,Mechanical,High,"230553 - Identification for hvac piping, ductwork and equipment.pdf","Spec requires an “Equipment Label Schedule” listing all equipment to be labeled, but no schedule or format is provided on this page; confirm that a coordinated equipment label schedule tied to drawing equipment tags will be issued for contractor use."
338,Mechanical,High,"230553 - Identification for hvac piping, ductwork and equipment.pdf",Valve numbering scheme is required but not defined here; need a project-wide valve numbering standard and indication of which documents (plans/schedules) will show each valve tag to avoid inconsistent field labeling.
339,Mechanical,High,"230553 - Identification for hvac piping, ductwork and equipment.pdf","Spec calls for valve schedules for each piping system to be included in maintenance manuals, but does not clearly require construction-phase valve schedules on drawings for installation and commissioning; clarify requirement for design-issued valve schedules showing locations, services, and normal positions."
340,Mechanical,High,232516 - Water treatment for open-loop hydronic systems.pdf,"Open-loop water treatment for cooling tower systems is described generally, but there is no indication on this page of required integration with tower blowdown, bleed-off controls, or basin heaters, making constructability of chemical injection and control interfaces unclear."
341,Mechanical,High,232516 - Water treatment for open-loop hydronic systems.pdf,"Section requires chemical treatment but does not specify on this page secondary containment, ventilation, or floor drain requirements for chemical storage/feed areas, which are needed to coordinate architectural/structural provisions and ensure safe constructible layouts."
342,Mechanical,High,233113 - Metal ducts.pdf,"Spec references “Duct Schedule Article” and SMACNA-based delegated duct design criteria, but no duct pressure class, construction class, or duct schedule is provided on this page; need clear project-specific duct pressure/SMACNA class requirements for constructability."
343,Mechanical,High,233113 - Metal ducts.pdf,"Metal duct spec relies on separate sections for duct insulation, acoustical lining, and accessories; without cross-referenced details or coordination notes on this page, it is unclear how duct liner, insulation, and casings interface with duct construction (thickness changes, clearances, and support modifications), creating coordination risk."
344,Mechanical,High,235700 - Heat exchangers for hvac.pdf,"Section identifies water-to-water plate and frame heat exchanger but does not reference any schedule or indicate design duty (flow rates, temperatures, pressure drops) needed for sizing and coordination with hydronic systems."
345,Mechanical,High,235700 - Heat exchangers for hvac.pdf,"Coordination drawings are required to show equipment room layout and structural members for mounting, but no minimum service clearances, access aisles, or pull-space requirements are stated, risking inadequate access for maintenance and plate removal."
346,Mechanical,High,235700 - Heat exchangers for hvac.pdf,"Shop drawing requirements call for design calculations for seismic restraints and bases but do not reference project seismic design parameters or responsible discipline (structural vs. mechanical), leaving seismic design criteria unclear."
347,Mechanical,High,236500 - Cooling towers.pdf,"Section covers forced-draft open cooling tower but does not reference any cooling tower schedule or indicate design conditions (GPM, entering/leaving water temperature, wet-bulb, static pressure, sound limits), which are necessary for equipment selection and coordination."
348,Mechanical,High,236500 - Cooling towers.pdf,"Performance requirements address structural support and wind design but do not define minimum required access clearances, safe maintenance platforms, or proximity to louvers/air intakes, creating risk of inadequate service access and recirculation issues."
349,Mechanical,High,236500 - Cooling towers.pdf,"Specification requires Division 23 contractor to coordinate cooling tower physical requirements and provide dunnage steel but does not clearly allocate responsibility for final structural design and stamping of supports, which may cause scope gaps between mechanical and structural trades."
350,Mechanical,High,236550 - Condenser water filtration system.pdf,"Section states that motor starters, piping, valves (except flow control), and water treatment are by HVAC contractor but does not clearly allocate responsibility for power wiring, controls integration, and concrete housekeeping pads, leading to potential trade scope conflicts."
351,Mechanical,High,236550 - Condenser water filtration system.pdf,"Coordination and shop drawing requirements call for structural supports, piping rough-in, wiring rough-in, and access requirements but do not specify minimum service clearances or filter element pull-space, which may result in filters being installed without adequate maintenance access."
352,Mechanical,High,236550 - Condenser water filtration system.pdf,"Wiring diagrams requirement differentiates manufacturer- and field-installed wiring but provides no reference to Division 26 or BMS interface requirements (points list, control sequences), leaving controls and monitoring of filtration system ambiguous."
353,Mechanical,Medium,M-107_FLOOR PLAN - LEVEL 7 - MECHANICAL PLAN.pdf; M-108_FLOOR PLAN - LEVEL 8 - MECHANICAL PLAN.pdf; M-109_FLOOR PLAN - LEVEL 9 - MECHANICAL PLAN.pdf; M-110_FLOOR PLAN - LEVEL 10 - MECHANICAL PLAN.pdf; M-111_FLOOR PLAN - LEVEL 11 - MECHANICAL PLAN.pdf,"No cross-referenced mechanical riser diagrams, control diagrams, or sequences of operation are visible on these sheets; request dedicated riser diagrams and controls/sequence documentation to support constructability and commissioning."
