Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
277,Fire Protection,Critical,A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,Sprinkler layout and head spacing are not indicated on the life safety plan; ability to meet NFPA 13/13R spacing and coverage (especially in long unit corridors and living areas) cannot be verified.
278,Fire Protection,Critical,A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,Standpipe riser and hose valve locations are not shown in stairs or at exit discharge; need confirmation of hose valve placement at intermediate landings and roof levels per code.
279,Fire Protection,Critical,A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,No indication of how sprinkler piping and alarm devices will penetrate or route along rated corridor and unit demising walls; coordination of firestopping and sleeves is not documented.
280,Fire Protection,Critical,A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,"Life safety legend does not reference sprinkler zoning, riser identification, or fire pump/FP water supply serving this level; upstream FP system relationships are unclear for egress analysis."
281,Fire Protection,Critical,A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,"Sprinkler/standpipe coverage for exterior occupied roof areas, pool deck, and cabanas is not shown; need clarification whether these areas require sprinklers, hose valves, or monitor nozzles."
282,Fire Protection,Critical,A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,"Mechanical/electrical rooms and equipment yards on roof are not shown with FP provisions (sprinklers, hose valves, or exterior hydrants); protection strategy for these critical spaces is unclear."
283,Fire Protection,Critical,A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,Standpipe hose valve locations at roof stair terminations are not indicated; need confirmation of compliance with NFPA 14 for highest landing/roof hose valve placement.
284,Fire Protection,Critical,A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,"No indication of fire department roof access points, standpipe outlets, or potential hydrant/FDC interface at roof level; coordination with FP site plans and fire department operations is not documented."
285,Fire Protection,High,210000 - Fire protection index.pdf,"Index lists wet-pipe sprinklers and standpipes but no sections for fire pump, fire department connections, or special systems (dry, preaction, clean agent); clarify whether these are not required or covered elsewhere."
286,Fire Protection,High,210000 - Fire protection index.pdf,No specification section identified for seismic bracing of FP piping; confirm if project is non-seismic or if bracing requirements are located in another section.
287,Fire Protection,High,210505 - General materials and methods.pdf,Section includes “Painting” and related work in Division 09 but does not clarify whether painting of exposed FP piping is by FP contractor or painter; request responsibility clarification to avoid scope gaps.
288,Fire Protection,High,210505 - General materials and methods.pdf,Supports and anchorages are included but no reference here to seismic restraint requirements or design responsibility; confirm if seismic bracing is not required or is covered in another FP section.
289,Fire Protection,High,210505 - General materials and methods.pdf,Specification lists access doors but does not indicate which trade furnishes/installs them for FP valves and devices in concealed spaces; need clarification for coordination with architectural finishes.
290,Fire Protection,High,210517 - Sleeves and sleeve seals for fire-suppression piping.pdf,"Sleeve materials and standards are defined, but there is no explicit requirement that sleeves through rated assemblies be UL-classified systems coordinated with firestopping; request clarification or reference to Division 07 firestopping details."
291,Fire Protection,High,210517 - Sleeves and sleeve seals for fire-suppression piping.pdf,Product data is required but no submittal requirement for layout or size/location of sleeves relative to structural elements; recommend clarifying need for sleeve layout drawings for coordination with structural and architectural trades.
292,Fire Protection,High,210518 - Escutcheons for fire-suppression piping.pdf,"Installation requirements for escutcheons at fire-rated wall, floor, and ceiling penetrations are not addressed; need clarification on firestopping compatibility and listing requirements."
293,Fire Protection,High,210518 - Escutcheons for fire-suppression piping.pdf,"No performance criteria given for corrosion resistance or suitability for wet, dry, or corrosive environments; contractor cannot confirm appropriate escutcheon and floor plate selection for coastal/high-humidity conditions."
294,Fire Protection,High,210518 - Escutcheons for fire-suppression piping.pdf,"Submittal requirements limited to product data only; no requirement for listing information or coordination with fire-resistance-rated assemblies, which may impact AHJ approval."
295,Fire Protection,High,210529 - Hangers and supports.pdf,Section lists various isolation mounts and supports but does not clearly distinguish which are required for fire protection piping versus mechanical equipment; constructability and cost impact without defined application criteria.
296,Fire Protection,High,210529 - Hangers and supports.pdf,No explicit reference to NFPA 13/14 hanging and bracing criteria or to seismic bracing requirements; potential conflict with code-mandated support spacing and seismic design.
297,Fire Protection,High,210529 - Hangers and supports.pdf,"Section references “Vibration Controls For Fire Protection Systems (Non-Seismic)” but does not clarify coordination with structural attachment details or allowable building-structure connection points, leaving constructability of supports unresolved."
298,Fire Protection,High,210553 - Identification for fire-suppression piping and equipment.pdf,"Identification scope lists labels, tags, and signs but does not define which specific FP components (risers, floor control valves, FDCs, fire pump equipment, test headers) require which type of identification; field implementation may be inconsistent."
299,Fire Protection,High,210553 - Identification for fire-suppression piping and equipment.pdf,"Valve and equipment label schedules are required but no standard nomenclature or tagging convention (e.g., riser/zone numbering tied to plans) is provided; risk of mismatched tags between drawings and installed systems."
300,Fire Protection,High,210553 - Identification for fire-suppression piping and equipment.pdf,"Coordination notes do not address integration of FP identification with life-safety graphics and AHJ requirements (e.g., valve charts at riser rooms, FDC signage), leaving code compliance for signage ambiguous."
301,Fire Protection,High,210800 - Fire protection testing.pdf,"Section indicates “basic fire protection materials and methods” but does not list specific FP systems (sprinkler, standpipe, fire pump, tanks, alarms) to be tested, making scope of testing unclear."
302,Fire Protection,High,210800 - Fire protection testing.pdf,Testing is to be per “relevant NFPA standards” without identifying which standards/editions apply; may cause discrepancies with AHJ expectations and other FP specifications.
303,Fire Protection,High,210800 - Fire protection testing.pdf,"Reporting requirements are generic and do not define minimum content (e.g., flow test data, acceptance test forms, deficiency lists) or distribution; may lead to incomplete documentation for turnover and AHJ records."
304,Fire Protection,High,101410 - Photoluminescent egress systems.pdf,"Scope lists multiple PL egress components but does not indicate coordination with sprinkler heads, standpipes, hose valves, or fire extinguisher cabinets in stairs; request details/notes to avoid PL markings conflicting with FP equipment locations."
305,Fire Protection,High,101410 - Photoluminescent egress systems.pdf,"Related sections reference stairs and exit signs but not Fire Protection drawings/specs; clarify coordination requirements so PL markings in stairwells align with FP devices (hose valves, standpipe signage, sprinkler coverage)."
306,Fire Protection,High,101410 - Photoluminescent egress systems.pdf,"Performance requirements reference Building Code, ASTM E2072, UL 410 and UL 1994 but do not state specific IBC/FFPC edition or local amendments used; request confirmation of governing code edition to verify compatibility with required luminous egress path marking criteria."
307,Fire Protection,High,101410 - Photoluminescent egress systems.pdf,"Shop drawing submittals require sizes and locations but do not explicitly require coordination with FP plans (sprinklers, standpipes, fire pump room exits); ask to add requirement that PL shop drawings overlay architectural and FP stair/egress drawings."
308,Fire Protection,High,101410 - Photoluminescent egress systems.pdf,Obstacle marking includes standpipes and hose cabinets but leaves height and exact locations to drawings/standards; confirm that stair FP layouts will clearly indicate which FP elements require PL obstacle marking and mounting heights.
309,Fire Protection,High,101410 - Photoluminescent egress systems.pdf,Exit door frame strips are required but no criteria given for compatibility with rated door/frame assemblies and smoke seals; request confirmation that PL strips will be listed/approved for use on fire-rated and smoke-control doors without compromising ratings.
310,Fire Protection,High,101410 - Photoluminescent egress systems.pdf,"Installation section defers locations to Architect and manufacturer’s instructions but does not require field coordination with FP devices (sprinkler heads, standpipes, alarm appliances) in stairs; request explicit note that PL components must not obstruct FP equipment or interfere with sprinkler discharge patterns."
311,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,"Spec lists scope generally for “fire extinguishers and cabinets” but does not define extinguisher quantity, travel distance coverage, or mounting locations; coordination with life safety/FP plans is unclear."
312,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,"Quality assurance references UL listing but does not reference NFPA 10 or local fire code requirements for extinguisher type, size, and placement; compliance basis is ambiguous."
313,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,"Submittal requirements do not call for installer certifications or confirmation of compatibility with building fire alarm/FP strategy (e.g., for special hazard areas); may be insufficient for AHJ approval."
314,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,"Extinguisher specification only addresses 5 lb multi‑purpose dry chemical units; no provisions for other occupancies (kitchen, electrical rooms, parking, etc.), leaving special hazard coverage undefined."
315,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Abbreviation note references “type and rating system” but does not clearly define rating criteria or minimum ratings per occupancy; contractor cannot verify code-compliant ratings.
316,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Mounting bracket spec is generic and does not define mounting heights or ADA reach requirements; risk of noncompliant installation.
317,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Cabinet description does not state fire‑rating requirements or listing when installed in rated walls/shafts; coordination with architectural fire ratings is unclear.
318,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Cabinet type is “semi recessed” but no limitations given for wall depth/structural conflicts; potential clash with structural/MEP elements behind walls.
319,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Basis-of-design cabinet “Model G-2409-5R” is referenced without listing (fire-rated vs non-rated) or door/trim options; unclear which features are mandatory vs optional.
320,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Installation requirements reference “locations indicated and at heights to comply with regulations” but do not provide explicit mounting heights or coordination with finishes; contractor must rely on field direction.
321,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Direction to locate cabinets/extinguishers “as directed by the Architect” where not indicated creates ambiguity for code-required spacing and may delay coordination.
322,Fire Protection,High,104416 - Fire extinguishers and cabinets.pdf,Identification requirements are architectural in nature but do not reference any tactile/Braille or visibility requirements from life safety codes; accessibility and signage compliance unclear.
323,Fire Protection,High,220517 - Sleeves and sleeve seals for plumbing piping.pdf,"Section covers sleeves and seals for plumbing only; no cross-reference to similar requirements for fire protection piping, leading to potential inconsistency in FP penetrations and sleeve materials."
324,Fire Protection,High,220517 - Sleeves and sleeve seals for plumbing piping.pdf,Sleeve materials are defined but there is no explicit requirement for UL firestop systems or compatibility with fire-rated assemblies; impact on FP piping penetrations in rated walls/floors is unclear.
325,Fire Protection,High,220518 - Escutcheons for plumbing piping.pdf,"Escutcheon spec is limited to plumbing piping; no equivalent section or reference for fire protection piping escutcheons, which may result in mismatched finishes and incomplete fire/smoke sealing at sprinkler penetrations."
326,Fire Protection,High,220518 - Escutcheons for plumbing piping.pdf,"Installation requirements address finished appearance but do not reference fire-resistance or smoke-sealing requirements for penetrations through rated walls/ceilings, which may affect FP piping penetrations as well."
327,Fire Protection,High,220553 - Identification for plumbing piping and equipment.pdf,"Specification addresses identification for plumbing piping and equipment only; fire protection piping, valves, and equipment labeling requirements are not referenced or cross‑coordinated, leaving FP identification scope ambiguous."
328,Fire Protection,High,"230553 - Identification for hvac piping, ductwork and equipment.pdf","Identification requirements are limited to HVAC piping, ductwork, and equipment; fire protection piping, valves, and devices are not mentioned, so FP labeling/valve tagging standards and coordination with mechanical/electrical identification systems are unclear."
329,Fire Protection,High,266010 - Elevator [area of refuge] landing communication system.pdf,"Spec references seismic controls only for electrical systems; no cross-reference to FP seismic bracing requirements (NFPA 13) for equipment/piping associated with area of refuge, creating coordination gap between FP and communication system."
330,Fire Protection,High,A0702 - LIFE SAFETY PLAN - LEVEL 2 - MECHANICAL.pdf,"Mechanical and service rooms on Level 2 do not show FP equipment (standpipe risers, floor control valves, or sprinkler zoning); vertical FP distribution not coordinated."
331,Fire Protection,High,A0702 - LIFE SAFETY PLAN - LEVEL 2 - MECHANICAL.pdf,Stairs identified as rated enclosures but no indication of standpipe hose valve locations or coordination with stair pressurization systems.
332,Fire Protection,High,A0702 - LIFE SAFETY PLAN - LEVEL 2 - MECHANICAL.pdf,"Large circular opening/atrium at upper left lacks coordination notes for sprinkler protection (e.g., closely spaced heads, sidewall coverage, or omission with smoke control); NFPA 13 treatment unclear."
333,Fire Protection,High,A0703 - LIFE SAFETY PLAN - LEVEL 3 - PARKING.pdf,"Parking garage life safety plan does not show sprinkler zoning, standpipe hose valves, or FP riser locations; ability to meet hose reach and coverage requirements is unclear."
334,Fire Protection,High,A0703 - LIFE SAFETY PLAN - LEVEL 3 - PARKING.pdf,Rated lobbies/corridors adjacent to shafts not coordinated with FP penetrations or sprinkler requirements for small rooms/closets; potential for unprotected spaces.
335,Fire Protection,High,A0703 - LIFE SAFETY PLAN - LEVEL 3 - PARKING.pdf,Stairs at parking level show egress paths but no indication of standpipe outlets at intermediate landings or floor levels; NFPA 14 compliance cannot be confirmed.
336,Fire Protection,High,A0704 - LIFE SAFETY PLAN - LEVEL 4 - PARKING.pdf,Life safety plan does not indicate sprinkler or standpipe riser locations within the Level 4 parking area; FP routing and connection to stair/shaft risers is unclear.
337,Fire Protection,High,A0704 - LIFE SAFETY PLAN - LEVEL 4 - PARKING.pdf,Hose valve locations are not shown in stairs or at intermediate landings; coordination with standpipe system and code-required coverage cannot be verified from this sheet.
338,Fire Protection,High,A0704 - LIFE SAFETY PLAN - LEVEL 4 - PARKING.pdf,"No indication of sprinkler coverage, head spacing, or special hazard protection (e.g., under ramps, at low ceilings, or at elevator lobbies) in the parking level; compliance with NFPA 13 for garages is not verifiable."
339,Fire Protection,High,A0704 - LIFE SAFETY PLAN - LEVEL 4 - PARKING.pdf,Penetrations of rated walls/shafts by FP piping are not identified or detailed on this life safety sheet; need coordination with FP drawings to ensure firestopping and routing.
340,Fire Protection,High,A0705 - LIFE SAFETY PLAN - LEVEL 5 AND LEVEL 8 - PARKING.pdf,Sprinkler and standpipe layouts are not shown for Levels 5 and 8 parking; unclear how risers extend and where zone control or isolation valves will be located.
341,Fire Protection,High,A0705 - LIFE SAFETY PLAN - LEVEL 5 AND LEVEL 8 - PARKING.pdf,"Hose valve locations within stair enclosures are not indicated; need confirmation of standpipe class, outlet spacing, and coordination with stair pressurization systems."
342,Fire Protection,High,A0705 - LIFE SAFETY PLAN - LEVEL 5 AND LEVEL 8 - PARKING.pdf,No notation of sprinkler protection at ramp transitions or under any soffits/overhangs; potential hidden obstructions and head spacing under structural elements cannot be reviewed.
343,Fire Protection,High,A0706 - LIFE SAFETY PLAN - LEVEL 6-7 AND LEVEL 9-10 - PARKING.pdf,"FP riser continuity through Levels 6-7 and 9-10 parking is not shown; need clarification of riser locations, zoning, and tie-in to lower and upper levels."
344,Fire Protection,High,A0706 - LIFE SAFETY PLAN - LEVEL 6-7 AND LEVEL 9-10 - PARKING.pdf,"Interface between rated separations and FP systems (sprinkler coverage across occupancy separations, pipe penetrations, and firestopping) is not documented on this sheet."
345,Fire Protection,High,A0706 - LIFE SAFETY PLAN - LEVEL 6-7 AND LEVEL 9-10 - PARKING.pdf,Absence of hose valve symbols or notes in stair cores makes compliance with maximum travel distance to standpipe outlets in parking levels ambiguous.
346,Fire Protection,High,A0736 - LIFE SAFETY PLAN - LEVEL 36 - MECHANICAL.pdf,"Life safety plan shows large mechanical and equipment spaces but no sprinkler/standpipe information; protection of mechanical rooms, equipment platforms, and any exposed structure is undefined."
347,Fire Protection,High,A0736 - LIFE SAFETY PLAN - LEVEL 36 - MECHANICAL.pdf,Standpipe riser continuation and hose valve locations at Level 36 are not shown; unclear how standpipe system interfaces with roof/mechanical level.
348,Fire Protection,High,A0736 - LIFE SAFETY PLAN - LEVEL 36 - MECHANICAL.pdf,No indication of FP piping penetrations through roof or rated shafts at this mechanical level; coordination with mechanical duct shafts and stair pressurization not documented.
349,Fire Protection,High,A0760 - LIFE SAFETY PLAN - LEVEL 60 - MECHANICAL.pdf,"Life safety plan shows exit enclosures and rated walls but no indication of sprinkler system layout, head locations, or sprinkler coverage; FP coordination with this mechanical level is unclear."
350,Fire Protection,High,A0760 - LIFE SAFETY PLAN - LEVEL 60 - MECHANICAL.pdf,Standpipe risers and hose valve locations are not identified within the stair enclosures; routing and number of standpipes for this level cannot be verified.
351,Fire Protection,High,A0760 - LIFE SAFETY PLAN - LEVEL 60 - MECHANICAL.pdf,Fire protection for mechanical rooms (sprinkler density/coverage and any special hazard protection) is not indicated; potential omission of required protection.
352,Fire Protection,Medium,Faena - 50% CD - Electrical.pdf,"Electrical legend and notes do not clearly identify power requirements, normal/emergency feeds, or coordination notes for fire pump, jockey pump, or fire alarm control equipment; FP–electrical interface is not defined."
353,Fire Protection,Medium,210519 - Meters and gauges.pdf,"Section states inclusion of meters and gauges but does not define which FP systems (sprinkler risers, fire pump test headers, standpipes, tank levels) require which instruments; layout and coordination with riser/floor control assemblies are unclear."
354,Fire Protection,Medium,210519 - Meters and gauges.pdf,"Submittal requirements reference schedules of locations but no basis or standard (e.g., NFPA 13/20 required gauge locations) is cited; risk of missing gauges at key points like fire pump suction/discharge and system risers."
355,Fire Protection,Medium,210519 - Meters and gauges.pdf,"Products are introduced but no minimum pressure ratings, accuracy classes, or connection sizes are stated; may lead to incompatible or undersized gauges/meters for system pressures."
356,Fire Protection,Medium,230517 - Sleeves and sleeve seals for hvac piping.pdf,"Sleeves and sleeve seals are specified for HVAC piping only; there is no indication that fire sprinkler/standpipe piping penetrations are to follow this section or a separate FP section, creating ambiguity for FP sleeve and seal requirements at walls/floors, including rated assemblies."
357,Fire Protection,Medium,230518 - Escutcheons for hvac piping.pdf,"Escutcheon requirements are written for HVAC piping penetrations, but do not clearly state applicability to fire sprinkler/standpipe piping, leading to uncertainty on FP escutcheon type and finish, especially at rated walls/ceilings."
358,Fire Protection,Medium,260500 - Common work results for electrical.pdf,"Electrical common work section requires scale drawings indicating insert and sleeve locations and coordination drawings for access panels/doors, but there is no explicit requirement to coordinate these with fire protection mains, risers, and sprinkler access needs, risking conflicts and inaccessible FP valves or devices."
359,Fire Protection,Medium,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,Coordination between sprinkler mains/branches and large mechanical ductwork/shafts is not shown; potential conflicts and obstructions to sprinkler discharge need resolution.
360,Fire Protection,Medium,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,"Sprinkler head types (e.g., ordinary vs. intermediate temperature, upright vs. pendent) in mechanical rooms are not called out; confirm head selection for high-heat or obstructed areas."
361,Fire Protection,Medium,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,Relationship between stair pressurization ductwork and standpipe/sprinkler piping in stairs is not detailed; need coordination to avoid clearance and access conflicts.
362,Fire Protection,,Faena - 50% CD - Structure.pdf,"Structural cover sheet shows extensive transfer slabs and outriggers but provides no FP coordination notes for penetrations, sleeves, or fire-rated shaft locations; early coordination of main risers and standpipes with structure is not addressed."
363,Fire Protection,,Faena - 50% CD - Specifications.pdf,General summary does not clearly state that FP subcontractor is responsible for coordinating penetrations and firestopping of rated assemblies; request clarification of FP scope for rated wall/floor penetrations.
364,Fire Protection,,File 211200 - Fire-suppression standpipes.pdf,"Standpipe specification only identifies “Automatic Wet-Type, Class I Standpipe System” with NPS 2-1/2 hose connections; no criteria given for additional Class II/III hose outlets, combined sprinkler/standpipe risers, or zoning, making coordination with sprinkler systems and architectural layouts unclear."
365,Fire Protection,,File 211200 - Fire-suppression standpipes.pdf,"Standpipe spec references wet and dry sprinkler sections but does not clearly define required hydraulic design basis (NFPA 14 class, demand point, or remote hose valve assumptions), which can cause inconsistencies with sprinkler hydraulic calculations and fire pump sizing."
366,Fire Protection,,File 211313 - Wet pipe sprinkler systems.pdf,"Wet system spec requires “building or area will be fully sprinklered (exception only as per local code)” but does not define any unprotected or limited-coverage spaces (elevator shafts, small closets, canopies, parking, etc.), creating ambiguity for sprinkler coverage and potential gaps in shop drawing scope."
367,Fire Protection,,File 211313 - Wet pipe sprinkler systems.pdf,"Specification requires hydraulic calculations per NFPA 13 but does not state design density/area criteria by hazard or by occupancy (light/ordinary/extra), leaving sizing of mains, risers, and fire pump demand ambiguous for bidding and coordination."
368,Fire Protection,,File 211313 - Wet pipe sprinkler systems.pdf,"Text states “all areas will be supplied from a combination, standpipe, or sprinkler riser system” without defining which areas are on combination risers versus dedicated sprinkler risers, making standpipe/sprinkler riser coordination and valve arrangement unclear."
369,Fire Protection,,File 211313 - Wet pipe sprinkler systems.pdf,Areas exposed to freezing are directed to have dry pipe systems but there is no cross-reference to specific locations or architectural envelopes; unclear which zones must be dry and how transitions to wet systems and standpipes are to be arranged.
370,Fire Protection,,"File 213113 - Electric-drive, centrifugal fire pumps.pdf","Fire pump spec lists components (pumps, controllers, transfer switches, etc.) but does not state required pump capacity, net pressure, or redundancy (duty/jockey/backup), leaving major sizing assumptions for standpipe and sprinkler systems undefined."
371,Fire Protection,,"File 213113 - Electric-drive, centrifugal fire pumps.pdf","Performance requirements reference a “Schedule” for pressure ratings and motor size but that schedule is not included on this page; without explicit values, coordination of fire pump, pipe ratings, and overpressure protection is ambiguous."
372,Fire Protection,,"File 213113 - Electric-drive, centrifugal fire pumps.pdf","Shop drawing requirements call for plans, elevations, and clearances but do not state minimum working clearances around the pump, controller, and test header per NFPA 20, which may result in an undersized fire pump room on architectural drawings."
373,Fire Protection,,File 078100 - Sprayed fire resistive materials.pdf,"Fire-resistive material spec references firestops and smokeseals but does not address protection/repair of rated assemblies at penetrations by fire protection piping (sprinkler mains, standpipes), leaving coordination of UL assemblies and through-penetration firestopping for FP systems unclear."
374,Fire Protection,,File 078100 - Sprayed fire resistive materials.pdf,"Requirement to identify restrained/unrestrained assemblies and thicknesses on shop drawings does not explicitly require coordination with sprinkler hanger and seismic brace attachments, risking field conflicts where FP supports disturb fireproofing thickness or rating."
375,Fire Protection,,File 078123 - Intumescent fireproofing.pdf,"Intumescent fireproofing is specified for “fireproofed steel exposed view” but there is no direction on coordinating with sprinkler head locations, piping supports, or hangers that may penetrate or be adjacent to coated steel, creating risk of coating damage and rating compromise."
376,Fire Protection,,File 078123 - Intumescent fireproofing.pdf,"Related sections list structural steel and painting but omit explicit coordination with Division 21 fire protection piping/penetrations, leaving unclear how intumescent coatings at beam/column locations will be protected where sprinkler hangers and standpipe supports are attached."
377,Fire Protection,,Files: A0704,"Life safety legends focus on egress and ratings; there is no explicit cross-reference to FP drawings for sprinkler/standpipe criteria (design density, hazard classification, garage vs. residential vs. mechanical), creating ambiguity in FP design basis for these levels."
378,Fire Protection,,Files: A0714,"Life safety plans do not show fire hose cabinet locations, fire extinguisher locations, or any coordination notes with FP drawings; first-responder equipment placement and coordination with architectural finishes are unclear."
379,Fire Protection,,Files: A0761,"Life safety sheets include egress and rating data but no cross-reference to FP drawings, sprinkler design criteria (NFPA edition, hazard classification, design area), or fire pump/standpipe basis; overall FP code strategy on upper levels is ambiguous."
